Owner,question,ideal_answer,answer,blue score,METEOR score,ROUGE score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score,bert score
Michael,What is Spectrum Scale?,IBM Spectrum Scale is flexible software-defined storage that can be deployed as high performance file storage or a cost optimized large-scale content repository. IBM Spectrum Scale is deployed at the most demanding enterprises in the world for both high performance and high scale.,IBM Spectrum Scale in containers allows the deployment of the cluster file system in a Red Hat OpenShift cluster,1.429988984626784e-78,0.082159624,0.21875,0.27034750800182905,0.28125,0.63128173,25,36.26643686710485,-0.3061855435371399,0.17857142857142858,0.6526409614653814
Michael,"What are Developer and Administrator perspectives in the OpenShift UI?
","The Developer perspective provides specific workflows related to the developer use case, like: Creating and deploying applications by importing existing codebases, images, and dockerfiles; visually interacting with applications and components within a project and monitoring their deployment and build status; grouping components within an application and across applications; and integrating serverless capabilities. The Administrator perspective in the OpenShift cluster is responsible for managing the cluster resources, users, and projects. ",There are mainly two perspectives on the web console: Administrator and Developer. You can have different accounts with different permissions that are managed by the Administrator using cluster role binding or project role binding.,1.1337861261109773e-231,0.047233468,0.113636364,0.18159806295399514,0.2330097087378641,0.35607973,25,60.250777641893166,-0.5178313851356506,0.14893617021276595,0.6027894600441581
Michael,When was OpenShift first launched?,OpenShift was first launched in 2011 and relied on Linux containers to deploy and run user applications.,It was first launched in 2010. It is a Kubernetes cluster that is powered by Red Hat OpenShift.,0.13314887940120282,0.054644809,0.055555556,0.2840909090909091,0.28571428571428575,0.63202417,26,17.772812253704025,-0.37911438941955566,0.29411764705882354,0.6855492913722991
Michael,What is Instana?," Instana’s software is intended particularly for use in monitoring and managing the performance and software used in microservice architectures and permits 3D visualisation of performance through graphs generated using machine learning algorithms, with notifications regarding performance also generated automatically. Instana agents are available for both standalone VM’s and cluster environments such as Kubernetes cluster, or an OpenShift Cluster. ",IBM Instana Observability is the first and only Fully Automated Application Performance Management (APM) solution designed specifically for the challenges of managing microservice and cloud-native applications.,1.136638440788832e-231,0.032520325,0.075949367,0.16819571865443425,0.2298850574712644,0.58820236,25,51.298685451503836,-0.2844824194908142,0.22500000000000003,0.6340849842780676
Michael,Does IBM have tools for computer vision?,"IBM Maximo Visual Inspection (MVI), part of Maximo Application Suite,  provides an intuitive toolset that empowers subject-matter experts to label, train, and deploy computer vision models without coding or data science expertise. Model deployment is easy and flexible, leveraging phones or edge devices at scale. This powerful, user-friendly technology is a complete end-to-end solution for injecting automation intelligence into manufacturing quality, and delivers detect and correct capability at the point of installation.","Yes, IBM Maximo Visual Inspection (MVI) is part of the Maximo Application Suite and it puts computer vision and deep learning AI models into the hands of business users.",0.10448903228181419,0.057915058,0.126315789,0.5491716654510814,0.380952380952381,0.85397214,18,58.368912421298106,-0.36572539806365967,0.37500000000000006,0.6791781865888171
Michael,Can I run MVI in AWS?,"In AWS cloud, MVI can be installed in a virtual private cloud running on the Red Hat OpenShift Container Platform (on Amazon EC2 instances) across multiple availability zones providing high availability.","Yes, it can be installed in a virtual private cloud.",0.20218647645300866,0.074404762,0.12,0.6898601398601399,0.3902439024390244,0.5094774,19,31.296673501145033,-0.5146677494049072,0.368421052631579,0.7403062035640081
Michael,Can Watson Speech to Text be customized?,The IBM Watson® Speech to Text service offers a customization interface that you can use to augment its speech recognition capabilities. You can use customization to improve the accuracy of speech recognition requests by customizing a base model for your domain and audio.,"Yes, you can customise the Watson Speech to Text.",1.5305852369156118e-78,0.070422535,0.161290323,0.33304988662131524,0.2692307692307693,0.73050755,25,35.5995605570675,-0.46339577436447144,0.21276595744680848,0.6121156414349874
Michael,What AI capabilities are included in Watson Libraries for Embed?,"With Watson Libraries, IBM introduces a common library framework for natural language processing (NLP), speech, document understanding, translation, and trust.",Watson Libraries for Embed include Watson NLP and Speech Libraries.,4.452250377698693e-155,0.054945055,0.102564103,0.3149606299212599,0.4666666666666667,0.66783786,20,20.594135937758207,0.09708106517791748,0.41379310344827586,0.6426381033200484
Michael,"What is watson knowledge catalog?
","IBM Watson® Knowledge Catalog is a data catalog tool that powers intelligent, self-service discovery of data, models and more. The cloud-based enterprise metadata repository activates information for AI, machine learning (ML) and deep learning supported by active metadata. Access, curate, categorize and share data, knowledge assets and their relationships, wherever they reside.","The IBM Watson Knowledge Catalog is a data catalog that serves as a single version of the truth for different users including data engineers , business analysts , data analysts , data scientists , and data citizens",0.09173718867997581,0.067001675,0.246575342,0.2624234225829524,0.3448275862068966,0.91471875,26,50.60612543638695,-0.048737600445747375,0.3037974683544304,0.6820032516041318
Michael,Can I run Cloud Pak for Data on prem?,"You can run Cloud Pak for Data on your private, on-premises cluster. If most of your enterprise data lives behind your firewall, it makes sense to put the applications that access your data behind your firewall to prevent accidentally sharing your data.","No, sorry. It only runs on OpenShift.",9.893133360884868e-232,0.057471264,0.096774194,0.22058823529411764,0.12,0.23635598,37,42.85569818703458,-0.9811558723449707,0.08333333333333334,0.5831391041477522
Michael,"What languages are supported by Watson Assistant?
","Watson Assistant has classifier models that are designed specifically to support conversational skills in the following languages: Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Dutch, English, French, German, Italian, Japanese, Korean, Portuguese (Brazilian), Spanish","It is very common to Implement a Conversational Assistant in multiple languages .Lets say you have Built a Customer Service Assistant .One of the requirements may be to support additional languages , such as Arabic and Spanish , to accommodate your customer base .",3.6963989292837193e-155,0.030674847,0.038461538,0.13392857142857142,0.24324324324324323,0.6825702,27,33.79301879736864,-0.46089673042297363,0.22857142857142856,0.5312364722820039
Sahil,Which file format supported for ingestion Watson Discovery ?,"json, doc, pdf etc.","Unfortunately, no relevant information is found.. The file type may be either executable or non-executable.",2.767123579921893e-232,0.05952381,0.0,0.05917159763313609,0.0,0.16154402,34,4.999999999999999,-1.0504316091537476,0.0,0.44205408692359927
Sahil,How is Watson Discovery accessed?,"Watson Discovery can be accessed through APIs (Application Programming Interfaces) or via the IBM Cloud user interface. Users can interact with Watson Discovery by sending HTTP requests to the REST API using various programming languages such as Python, Java, Node.js, etc. Alternatively, users can also use the IBM Cloud user interface to create and manage Watson Discovery instances, and to access its functionalities.",You can access Watson Discovery through the Service URL as well as the API Key for your instance of Watson Discovery.,3.877583752664626e-155,0.05899705,0.144578313,0.334395947509771,0.2823529411764706,0.7499614,25,46.37426717570738,-0.5257691144943237,0.2278481012658228,0.5987315618473551
Sahil,What are the five steps in the Watson Discovery Automated Pipeline.,"The five steps in the Watson Discovery Automated Pipeline are: document ingestion, enrichment, indexing, querying, and analysis.","Unfortunately, no relevant information is found. The Natural Language Container is the main AI pipeline that runs the machine learning models distributed across our other apps .",9.063525265266766e-232,0.065789474,0.111111111,0.0880281690140845,0.13953488372093026,0.43609285,28,17.886045414419367,-0.7436220645904541,0.052631578947368425,0.59561262048524
Sahil,What are the advantages of using Watson Assistant over traditional chatbots?,"IBM Watson Assistant is built on natural-language understanding (NLU), natural-language processing (NLP), and machine learning (ML) to better understand questions, automate the search for the best answers, and complete the user's intended action.","Unfortunately, no relevant information is found. Would you like to know about Watson assistant?",1.0518351895246305e-231,0.058685446,0.145454545,0.21534792368125702,0.16,0.74350977,32,33.78319404001114,-0.7975170612335205,0.18181818181818182,0.48942959659239826
Sahil,What types of cloud computing services are available on IBM Cloud?,"IBM Cloud  is a robust suite of advanced data and AI tools, and deep industry expertise to help you on your journey to the cloud. Customers can choose among over 170 products and services covering data, containers, AI and machine learning, IoT, blockchain and more.","Unfortunately, no relevant information is found. There is no relevant information.",9.594503055152632e-232,0.071574642,0.1875,0.11235955056179776,0.03571428571428571,0.08158291,36,45.81654322243781,-0.8077216148376465,0.037037037037037035,0.4931057947022574
Sahil,What is the Speech to Text API method used to transcribe audio?,The Speech to Text API method used to transcribe audio is the recognize method.,"Unfortunately, no relevant information is found. However, you can look up Speech to Text API if you are interested in learning more.",0.08744943982389485,0.064102564,0.121212121,0.1712405176260598,0.2777777777777778,0.70381886,29,14.308636600185707,-0.598288893699646,0.29411764705882354,0.5051641418383672
Sahil,What is the language model helper ?,text file of transcribed audio files used for customization,"Unfortunately, no relevant information is found. A language model is trained using repetitions of a spoken word.",3.0984417036474726e-232,0.049019608,0.071428571,0.052910052910052914,0.15384615384615383,0.28178477,33,9.938214885955789,-0.8995962142944336,0.08333333333333334,0.43319807166144964
Sahil,"What is the name for a container that stores intents, entities, and dialog nodes in Watson Assistant ?","The name for a container that stores intents, entities, and dialog nodes in Watson Assistant is a dialog skill (formerly known as a workspace)","Unfortunately, no relevant information is found. The Watson assistant does not currently have any active licenses.",1.1200407237786664e-231,0.073260073,0.139534884,0.18693467336683414,0.2,0.57893753,28,24.809377356005317,-0.7854294776916504,0.17142857142857143,0.4677325894958095
Sahil,Which special condition is automatically added to the dialog flow when you create a new instance of Watson Assistant?,"When you create a new instance of Watson Assistant, a special condition called ""Anything else"" is automatically added to the dialog flow. This condition is triggered when the user's input does not match any of the defined intents. It can be used to handle unexpected or out-of-context inputs from the user. The ""Anything else"" condition typically responds with a message asking the user to rephrase their input or offering help to guide them to the appropriate response.","When you create a new instance of Watson assistant, the Welcome node is automatically added to the dialog flow. This node defines how the assistant greets the user and starts the conversation.",0.17905557045554643,0.024875622,0.060606061,0.48997126848610184,0.41071428571428564,0.62492096,25,51.435586776229506,-0.43249350786209106,0.3440860215053763,0.7772499032922693
Sahil,What is IBM cloud monitoring?,"The IBM Cloud Monitoring service is a fully managed monitoring service for administrators, DevOps teams and developers. Expect deep container visibility and comprehensive metrics. Reduce cost as you free up DevOps and better manage the software lifecycle.",IBM Cloud Monitoring provides the data collection and meaningful promotion of data for cloud service observability,1.4855627565937148e-78,0.102564103,0.214285714,0.1891891891891892,0.2641509433962264,0.7954091,31,33.580106890407286,-0.33273857831954956,0.2448979591836735,0.6085888053241529
Himadri,Can WebSphere run in a container?,"You can run WebSphere® Application Server in a container by building your own container image with WebSphere Application Server binary files or by extending a pre-packaged IBM® container image.
","Yes, it can be containerized. It is a fast, secure, Java runtime that is built on the open source Open Liberty project.",1.0244914152188952e-231,0.034364261,0.12244898,0.05494505494505494,0.07692307692307691,0.46968725,27,28.98008101372996,-0.4108540415763855,0.0425531914893617,0.6406531642223227
Himadri,difference between watson assistant vs watson discovery?,IBM Watson® Assistant is the industry-leading conversational AI technology that powers chatbots. IBM Watson® Discovery focuses on proactively finding hidden insights through content mining and helps users quickly surface information by using a guided navigation experience.,Watson Studio Watson Speech to Speech Watson Watson Discovery Watson Speech to Text,7.337741777064293e-232,0.110192837,0.25,0.03225806451612904,0.12,0.54789275,32,36.92210042416482,-0.5012444257736206,0.0425531914893617,0.5273589262595544
Himadri,What is api connect? ,"IBM API Connect is a full lifecycle API management solution that uses an intuitive experience to help consistently create, manage, secure, socialize and monetize APIs, helping power digital transformation on premises and across clouds.","IBM API Connect is an integrated API management solution with an API gateway , developer portal , and analytics",0.09561650802329855,0.080645161,0.188679245,0.40608465608465605,0.3921568627450981,0.9004141,27,29.74437626687702,0.03527455031871796,0.3404255319148936,0.6566001843465002
Himadri,"What are the key features of openshift?
","1. Integrated platform includes container host, Kubernetes, and application life  cycle management using your choice of infrastructure.
                                                                                                                                                                                                                                                                2. Operators provide an agile DevOps workflow.
                                                                                                                                                                                                                                                                3. Security-focused, validated container content and services from a wide partner ecosystem.
                                                                                                                                                                                                                                                                4. Faster application development cycles and more frequent software deployments.
                                                                                                                                                                                                                                                                5. Simple installation and upgrades, even in air-gapped environments.
                                                                                                                                                                                                                                                                6. application portability with lower operational cost across hybrid cloud, multicloud, and edge footprints.
                                                                                                                                                                                                                                                                7. Consistent development experience across the application life cycle.","Unfortunately, no relevant information is found.. The following image and description outline default and optional data encryption for site.data.keyword.openshift_notm clusters",7.640041254455826e-232,0.039149888,0.121212121,0.06779661016949153,0.05769230769230769,0.15963238,33,67.1702310226851,-0.7334759831428528,0.04255319148936171,0.5472931180681501
Himadri,can turbonomic can be used on prem?,Operators provide an agile DevOps workflow.,"it has successfully extended itself to cover the infrastructures provided by public clouds like Amazon Web Service , Microsoft Azure , and Google Cloud Platform (GCP)",0.0,0.05952381,0.08,0.019305019305019308,0.06666666666666667,0.2240183,30,7.000000000000003,-1.1848372220993042,0.0,0.4573507562279701
Himadri,What is AIX?,AIX is a series of proprietary Unix operating systems developed and sold by IBM for several of its computer platforms,"Unfortunately, no relevant information is found. Would you like to know more about IBM AIX Toolbox?",1.1337861261109773e-231,0.157027363,0.205128205,0.07853403141361255,0.16666666666666663,0.7419598,33,20.808764787027012,-0.62233567237854,0.17142857142857143,0.3619885742664337
Himadri,"What is AIX server used for?
","It is typically used for enterprise servers and comes with a robust set of security options such as Kerberos V5 network authentication and dynamic secure tunnel authentication. AIX allows the system administrator to divide memory, CPU, and disk access between various jobs. The system supports IBM's 64-bit POWER processor and is backwards-compatible with 32-bit applications. It also runs most Linux applications (after recompiling them) and has full support for Java.","Unfortunately, no relevant information is found. The IBM AIX Toolbox contains a collection of open source and GNU software built in RPM Package Manager (RPM) format for IBM AIX systems.",3.1968895373855633e-155,0.047814208,0.129032258,0.17766497461928935,0.17307692307692307,0.51213205,29,64.01001562512565,-0.2906201481819153,0.10526315789473682,0.6304001344574822
Himadri,"What is quantum computing?
","Quantum computing is a rapidly-emerging technology that harnesses the laws of quantum mechanics to solve problems too complex for classical computers. 

",It is about processing information by harnessing and using the laws of quantum mechanics.,0.17588181044237433,0.0456621,0.097560976,0.47770700636942676,0.3888888888888889,0.6812623,23,21.63750522670779,0.11285847425460815,0.3125,0.5703354962170124
Himadri,"Why do we need quantum computers?
","For some problems, supercomputers aren’t that super.

When scientists and engineers encounter difficult problems, they turn to supercomputers. These are very large classical computers, often with thousands of classical CPU and GPU cores. However, even supercomputers struggle to solve certain kinds of problems.

If a supercomputer gets stumped, that's probably because the big classical machine was asked to solve a problem with a high degree of complexity. When classical computers fail, it's often due to complexity

Complex problems are problems with lots of variables interacting in complicated ways. Modeling the behavior of individual atoms in a molecule is a complex problem, because of all the different electrons interacting with one another. Sorting out the ideal routes for a few hundred tankers in a global shipping network is complex too.","The quantum computer has dramatically increased processing capabilities over classical computers based on the qubit , or quantum bit that is the basic unit of quantum information , that can be in a state of both 1 and 0 at the same time .",3.232866437160679e-155,0.022172949,0.052980132,0.2430763972255569,0.17341040462427745,0.29688329,24,95.30499118662769,-1.0256530046463013,0.1038961038961039,0.5371989972061582
Himadri,what IBM tool can I use for ARM?,"Security-focused, validated container content and services from a wide partner ecosystem.","Unfortunately, no relevant information is found. The Docker community has been quick to create tooling around the manifest list before Docker decided on how best organize the UI.",2.857256065331542e-232,0.108695652,0.193548387,0.03424657534246575,0.0,0.3342918,30,12.00000000000001,-0.9158463478088379,0.0,0.45477701767402534
Shivam,What is IBM cloud pak for data?,Faster application development cycles and more frequent software deployments. ,"IBM Cloud Pak for Data and Palantir provide integrated capabilities to collect, transform, and integrate data from many sources.",3.6695469123219324e-232,0.045045045,0.071428571,0.04807692307692308,0.07142857142857142,0.18406542,32,9.889706931636919,-0.9673247337341309,0.07142857142857142,0.4753349932531516
Shivam,Which IBM tool can be used for building machine learning models?,"Simple installation and upgrades, even in air-gapped environments.","Unfortunately, no relevant information is found. Would you like to know more about MLOps?",6.05006004817715e-232,0.09009009,0.071428571,0.06134969325153374,0.0,0.13407694,32,9.000000000000004,-1.0785642862319946,0.0,0.4175194874405861
Shivam,Which IBM tool can be used for model monitoring?,"Application portability with lower operational cost across hybrid cloud, multicloud, and edge footprints.","Unfortunately, no relevant information is found.. The IBM interdisciplinary team is a leader in the field of Machine Learning",6.664403783966194e-232,0.121212121,0.125,0.024390243902439025,0.0,0.1627481,30,14.0,-0.7967647314071655,0.0,0.49807634407823737
Shivam,What is watson knowledge catalog?,Consistent development experience across the application life cycle. ,"The IBM Watson Knowledge Catalog is a data catalog that serves as a single version of the truth for different users including data engineers , business analysts , data analysts , data scientists , and data citizens",4.686075786746543e-233,0.049019608,0.074074074,0.014619883040935673,0.04878048780487805,0.115804,30,8.971395625078259,-1.0047094821929932,0.0,0.47783607687499075
Shivam,Can watson knowledge catalog be deployed on-prem?,"Yes, Watson Knowledge Catalog can be deployed on-premises, in addition to being available as a cloud-based service on IBM Cloud.","Unfortunately, no relevant information is found. No relevant information is found.",9.893133360884868e-232,0.131578947,0.146341463,0.06711409395973154,0.0,0.14000478,33,21.000000000000007,-0.7549806833267212,0.0,0.5081622856003898
Shivam,What are some potential benefits of using IBM Maximo for managing assets in your organization?,"
IBM Maximo is a powerful enterprise asset management platform that can provide several benefits for managing assets in an organization. Some potential benefits are: Improved asset uptime, Better asset utilization, Enhanced regulatory compliance, Improved asset planning and procurement and Increased operational efficiency.","Unfortunately, no relevant information is found.. The term ""Digital twin"" is used to refer to a virtual copy of a physical system.",9.788429383461836e-232,0.055187638,0.131147541,0.06872852233676977,0.0625,0.049558587,38,42.816427260058674,-0.6409686803817749,0.03389830508474576,0.5017474219202995
