answer,ideal_answer,question,blue score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score,bert score
1920s:1 -,1920s,When was quantum field theory developed?,0.0,0.0,0.6666666666666666,0.89847237,16,2.0,-0.2913367748260498,0.0,0.3547588363289833
Sully Prudhomme of France,Sully Prudhomme,Who was the first Nobel prize winner for Literature?,5.487540440520353e-155,0.4934210526315789,0.6666666666666666,0.82121015,9,2.449489742783178,0.021395161747932434,0.6666666666666666,0.7853314355015755
discourse between two or more people holding different points of view about a subject but wishing to establish the truth through reasoned arguments,discourse between two or more people holding different points of view about a subject but wishing to establish the truth through reasoned arguments,When is the dialectical method used?,1.0,0.999958905235473,1.0,1.0,0,22.99999999999999,0.8633668422698975,1.0,1.0000000362810881
Sejong the Great,Sejong the Great,Who invented Hangul?,1.2213386697554703e-77,0.9814814814814815,1.0,1.0,0,3.0000000000000004,0.9165922403335571,1.0,0.9999999850988388
"plant-eaters, with a few species at times becoming serious pests of cereals, vegetables and pasture","Grasshoppers are plant-eaters, with a few species at times becoming serious pests of cereals, vegetables and pasture, especially when they swarm in their millions as locusts and destroy crops over wide areas",What do Grasshoppers eat?,0.4617366309441026,0.8726901273650887,0.653061224489796,0.7309178,11,30.617677390967064,0.11248898506164551,0.6222222222222222,0.7896574193781073
"183,285km2 (70,767sqmi)","183,285km",How large is the Kerman province of southeastern Iran?,0.0,0.0,0.3333333333333333,0.87937033,22,2.0,-0.5420993566513062,0.0,0.4975173462714468
October 2015 and to iOS devices including Apple TV in November 2015,Oct-15,When was Guitar Hero Live first released?,0.0,0.0,0.0,0.45535207,28,2.0,-1.0866434574127197,0.0,0.4207104643185933
"March 7, 1901, Lupinus subcarnosus became the only species of bluebonnet recognized as the state flower of Texas","March 7, 1901",When were bluebonnets named the state flower of Texas?,0.01831563888873418,0.1715353260869565,0.2857142857142857,0.27702615,29,3.874163181810892,-1.1000056266784668,0.3157894736842105,0.3899444816289125
Key   ,Key,Who created the series Clannad?,1.821831989445342e-231,0.5,1.0,1.0000001,0,1.0,0.8604700565338135,1.0,1.0
"May 5, 1983 She was launched November 5, 1983, and commissioned December 1, 1984","May 5, 1983",When was the USS Taylor built?,0.0301973834223185,0.12048192771084336,0.35294117647058826,0.60247684,17,3.6843697627859715,-0.9159226417541504,0.35294117647058826,0.3327869255509641
"not as serious, and ending finally in justifiable homicide, which is not a crime at all","In most U.S. jurisdictions there is a hierarchy of acts, known collectively as homicide, of which first degree murder and felony murder are the most serious, followed by second degree murder, followed by voluntary manslaughter and involuntary manslaughter which are not as serious, and ending finally in justifiable homicide, which is not a crime at all",What's the difference between man-slaughter and homicide?,0.27214600938194505,0.8035025352733688,0.4383561643835616,0.67285705,20,36.04518402101245,-0.29196715354919434,0.4411764705882353,0.6808317452669144
July 1960)))))))),Jul-60,When did DC comics first introduce the Guardians of the Universe?,0.0,0.0,0.0,0.5352522,29,2.0,-0.6308181285858154,0.0,0.4628979444503784
"kakapo are the heaviest living species of parrot and on average weigh about 400g (14oz) more than the largest flying parrot, the hyacinth macaw",Kakapo,What is the largest parrot in New Zealand?,0.0,0.020491803278688523,0.07999999999999999,0.3920213,33,2.0,-0.7930619120597839,0.0909090909090909,0.37048053230558126
2007's Assassin's Creed,2007,When was the first Assassin's Creed released?,3.3368016834625063e-233,0.10869565217391304,0.33333333333333337,0.4068377,30,2.0,-0.9012048244476318,0.0,0.37084690587861197
"2095% oxygen, 093% argon, 004% carbon dioxide",20.95%,What percentage of the Earth's atmosphere is oxygen?,1.0322346066768973e-233,0.04545454545454545,0.0,0.28989303,22,2.0,-1.1660584211349487,0.25,0.518041804432869
"October 31, 1992, in the United States on the Fox Kids network","October 31, 1992",When was the X-Men cartoon television series first aired?,0.0820849986238988,0.2427884615384615,0.4,0.58939415,23,3.812737171987746,-0.9483311176300049,0.4615384615384615,0.4785854411976678
6 August 1967supstr,06-Aug-67,When was the Battle of Suoi Chau Pha fought?,0.0,0.0,0.0,0.6718307,27,2.0,-0.7647709846496582,0.0,0.5522270003954569
83 years old  ,83,How old was Cho Namchul when he died?,2.4655814830110698e-232,0.17857142857142855,0.5,0.7289851,33,1.5874010519681994,-0.6965664029121399,0.5,0.46589277187983197
Bill the Goat is the mascot of the United States Naval Academy,Bill the Goat,What is the Navy's military mascot?,6.08068718514316e-79,0.13513513513513511,0.4,0.56425047,20,3.5481517387309944,-0.9799357652664185,0.3636363636363636,0.4917750457922618
five states which the UN Charter of 1945 grants a permanent seat on the UN Security Council,five,How many permanent members of the United Nations Security Council are there?,2.05020181241367e-238,0.032467532467532464,0.1111111111111111,0.12949769,24,1.9200933737095864,-0.8698952198028564,0.13333333333333333,0.19799022464191213
"Sunrise that features giant robots (mecha) with the name ""Gundam"" (after the original titular mecha)",Sunrise,Who created the Gundam animated series?,3.7550756045197113e-240,0.02631578947368421,0.125,0.4682969,26,1.9096832078208332,-0.8362882733345032,0.14285714285714288,0.26613014936447144
"early 20th century, it has developed into a unique form of the genre",20th century,How long has Lucha Libre been around?,3.6974756643564256e-157,0.146484375,0.2666666666666667,0.5293684,20,2.907875264876633,-0.762214720249176,0.3076923076923077,0.39042183118207113
"1905, building on many theoretical results and empirical findings obtained by Albert A Michelson, Hendrik Lorentz, Henri Poincaré and others",1905,When was special relativity developed?,5.081942205125697e-241,0.024038461538461536,0.09523809523809523,0.4217785,37,2.0,-0.6649729013442993,0.1,0.24389181126441276
19th-century German philosophers Karl Marx and Friedrich Engels,19th-century,When did Marxism develop?,1.661295735445513e-234,0.0684931506849315,0.3636363636363636,0.49496618,22,1.8340080864093424,-1.0191929340362549,0.2222222222222222,0.6328722780401056
Assassin's Creed Odyssey,Assassin's Creed Odyssey,Which Assassin's Creed is the latest released?,1.0,0.9921875,1.0,1.0,0,3.0000000000000004,0.8866554498672485,1.0,0.9999999403953552
