Owner,question,ideal_answer,answer,blue score,METEOR score,ROUGE score,meteor score,rouge score,SentenceSim score,SimHash score,perplexity score,bleurt score,F1 score,bert score
Michael,What is Spectrum Scale?,IBM Spectrum Scale is flexible software-defined storage that can be deployed as high performance file storage or a cost optimized large-scale content repository. IBM Spectrum Scale is deployed at the most demanding enterprises in the world for both high performance and high scale.,                                                                                                   ,0.0,0.0,0.0,0.0,0.0,-0.055557586,30,0.0,-0.8525263071060181,0.0,0.5724954158067703
Michael,"What are Developer and Administrator perspectives in the OpenShift UI?
","The Developer perspective provides specific workflows related to the developer use case, like: Creating and deploying applications by importing existing codebases, images, and dockerfiles; visually interacting with applications and components within a project and monitoring their deployment and build status; grouping components within an application and across applications; and integrating serverless capabilities. The Administrator perspective in the OpenShift cluster is responsible for managing the cluster resources, users, and projects. ",                                                                                                   ,0.0,0.006906077,0.0,0.0,0.0,0.079775535,37,0.0,-0.7070701122283936,0.0,0.5801336616277695
Michael,When was OpenShift first launched?,OpenShift was first launched in 2011 and relied on Linux containers to deploy and run user applications.,a sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy sexy s,0.0,0.0,0.0,0.0,0.0,-0.1517059,34,18.000000000000032,-1.5080710649490356,0.0,0.2596109700202942
Michael,What is Instana?," Instana’s software is intended particularly for use in monitoring and managing the performance and software used in microservice architectures and permits 3D visualisation of performance through graphs generated using machine learning algorithms, with notifications regarding performance also generated automatically. Instana agents are available for both standalone VM’s and cluster environments such as Kubernetes cluster, or an OpenShift Cluster. ",OpenTelemetry is an observability tool that makes collecting and sending telemetry data more streamlined and standardized.,9.557951902988592e-232,0.0,0.0,0.1141552511415525,0.1052631578947368,0.3147341,36,49.401314859360575,-0.6245535612106323,0.0845070422535211,0.6210887708045818
Michael,Does IBM have tools for computer vision?,"IBM Maximo Visual Inspection (MVI), part of Maximo Application Suite,  provides an intuitive toolset that empowers subject-matter experts to label, train, and deploy computer vision models without coding or data science expertise. Model deployment is easy and flexible, leveraging phones or edge devices at scale. This powerful, user-friendly technology is a complete end-to-end solution for injecting automation intelligence into manufacturing quality, and delivers detect and correct capability at the point of installation.",                                                                                                   ,0.0,0.0,0.025316456,0.0,0.0,0.15371409,35,0.0,-0.7373052835464478,0.0,0.6236633807420731
Michael,Can I run MVI in AWS?,"In AWS cloud, MVI can be installed in a virtual private cloud running on the Red Hat OpenShift Container Platform (on Amazon EC2 instances) across multiple availability zones providing high availability.",                                                                                                   ,0.0,0.0,0.0,0.0,0.0,0.052431077,37,0.0,-0.9220999479293824,0.0,0.6078563332557678
Michael,Can Watson Speech to Text be customized?,The IBM Watson® Speech to Text service offers a customization interface that you can use to augment its speech recognition capabilities. You can use customization to improve the accuracy of speech recognition requests by customizing a base model for your domain and audio.,                                                                                                   ,0.0,0.0,0.0,0.0,0.0,0.039839488,30,0.0,-0.7780011892318726,0.0,0.6107082366943359
Michael,What AI capabilities are included in Watson Libraries for Embed?,"With Watson Libraries, IBM introduces a common library framework for natural language processing (NLP), speech, document understanding, translation, and trust.","Embedded AI is everywhere and theres a good chance youve already used it. Autopilot systems in your car, and speech recognition saving time and computing cost in training models and returning the value of embedded AI. And thats where using Watson Libraries can help bring a powerful & robust way to expand AI journey.",1.884769561480165e-155,0.0,0.0,0.0967329545454545,0.136986301369863,0.38970917,35,20.867601459488625,-0.6733396053314209,0.1159420289855072,0.4548653277754784
Michael,"What is watson knowledge catalog?
","IBM Watson® Knowledge Catalog is a data catalog tool that powers intelligent, self-service discovery of data, models and more. The cloud-based enterprise metadata repository activates information for AI, machine learning (ML) and deep learning supported by active metadata. Access, curate, categorize and share data, knowledge assets and their relationships, wherever they reside.",                                                                                                   ,0.0,0.0,0.0,0.0,0.0,0.020085605,34,0.0,-0.6942788362503052,0.0,0.5985613912343979
Michael,Can I run Cloud Pak for Data on prem?,"You can run Cloud Pak for Data on your private, on-premises cluster. If most of your enterprise data lives behind your firewall, it makes sense to put the applications that access your data behind your firewall to prevent accidentally sharing your data.",                                                                                                   ,0.0,0.0,0.0,0.0,0.0,-0.039919402,40,0.0,-0.9456483125686646,0.0,0.6320649087429047
Michael,"What languages are supported by Watson Assistant?
","Watson Assistant has classifier models that are designed specifically to support conversational skills in the following languages: Arabic, Chinese (Simplified), Chinese (Traditional), Czech, Dutch, English, French, German, Italian, Japanese, Korean, Portuguese (Brazilian), Spanish",Using an external data store will make it much easier to manage your skills for purposes like this.,8.067983225219229e-232,0.01059322,0.0,0.0448430493273542,0.0784313725490196,0.23957297,32,33.88740897442926,-0.6498827934265137,0.0816326530612244,0.5689235145137423
Sahil,Which file format supported for ingestion Watson Discovery ?,"json, doc, pdf etc.",                                                                                                   ,0.0,0.0,0.0,0.0,0.0,0.008548327,32,0.0,-0.6322728395462036,0.0,0.6725394874811172
Sahil,How is Watson Discovery accessed?,"Watson Discovery can be accessed through APIs (Application Programming Interfaces) or via the IBM Cloud user interface. Users can interact with Watson Discovery by sending HTTP requests to the REST API using various programming languages such as Python, Java, Node.js, etc. Alternatively, users can also use the IBM Cloud user interface to create and manage Watson Discovery instances, and to access its functionalities.",0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0) 0,2.739827622471773e-232,0.0,0.0,0.0039370078740157,0.0,-0.09256604,35,64.0,-1.1760658025741575,0.0,0.37162059783935547
Sahil,What are the five steps in the Watson Discovery Automated Pipeline.,"The five steps in the Watson Discovery Automated Pipeline are: document ingestion, enrichment, indexing, querying, and analysis.","0 Response to ""Watson - a new way to learn""",8.319100378795605e-232,0.023696682,0.0,0.0381679389312977,0.0769230769230769,0.49273247,31,17.999999999999986,-1.0282447338104248,0.0869565217391304,0.48134214750358034
